,Company UUID,Company,Domain,Location,Tagline,Investors
16,2221eb02-6e36-4275-9bce-f8cd4bb78846,44.01,,"London, U.K.",Carbon removal and mineralization technologies,"['nysnø climate investments', 'equinor ventures', 'apollo projects', ' breakthrough energy ventures', ' jasoor ventures', ' environmental organizations in europe', ' unnamed families in oman']"
17,74c55a8d-682f-4ee9-9755-1175081724aa,4elements,,"TK, France",Launch of new high-impact climate startups,[]
18,24f44b9d-d6a2-4fe7-8765-830c2eda8133,4impact capital,,"The Hague, Netherlands",Investment firm focused on climate software companies,[]
19,3d63d8d3-87e3-4409-9db0-7b2a84bc276e,4m analytics,https://4manalytics.com/,Israel,Subsurface infrastructure mapping startup,"[' viola ventures', ' iti venture capital', ' f2 venture capital', 'insight partners']"
20,2ddf481d-5e09-4056-8f61-639b2cbbb851,51tocarbonzero,,"London, England",Corporate net zero transition platform,['fuel ventures']
21,cd088c00-53d7-473f-8592-0363d53a8e2d,5b,https://5b.co/,"Sydney, Australia",Solar power deployment company,['bp ventures']
22,930a7f5a-a46c-4111-b1af-d4921630fa5a,5b australia,https://www.5b.com.au/,Australia,Modular solar manufacturer,['bp ventures']
23,844127ce-146d-4987-b98e-4fd45995b983,60hertz energy,https://60hertzenergy.com/,"Anchorage, AK",Platform improving microgrids and backup generators,"[' alaska investor network', ' climate impact capital', ' clean energy venture group angels', 'factor[e]', ' seachange fund']"
24,6efa650d-76d6-41ce-8716-933d9a29b3a1,6k,https://www.6kinc.com/,"North Andover, MA",Developer of advanced microwave-based plasma technology,"[' volta energy technologies', ' albemarle', ' others', ' energy impact partners', 'koch strategic platforms', 'anzu partners', ' hg ventures', ' material impact', ' launchcapital']"
25,ca446f27-1c11-4525-a49e-77b0d7eadc0a,75f,https://www.75f.io/,"Minneapolis, MN",Building automation technologies to optimize indoor air quality and energy efficiency,"['wind ventures', ' next47', 'accurant international', ' copec wind ventures', 'siemens ag', ' breakthrough energy ventures', ' carrier', ' climate investment']"
26,c1ef9fb4-813d-49b7-855c-bedde1a4ddd1,75f inc.,,"Burnsville, MN",Provider of wireless building automation for commercial buildings,"['breakthrough energy ventures', ' climate initiative']"
27,fc1aced9-e60c-436d-b8eb-98460c5cdf5a,7analytics,https://7analytics.ai/,"Bergen, Norway",Flood prediction platform,"['momentum partners', ' obos vc', ' construct venture', 'scale capital', ' link capital']"
28,a7d9a42c-aa48-4ad5-a895-34138df7136d,7bridges,https://www.7bridges.com/,"London, UK",Logistics engine optimization platform,"[' local globe', 'eight roads', ' crane vc']"
29,2beca5c4-9d28-436f-9dbd-f51b0292d6aa,7gen,https://7gen.com/,"Vancouver, Canada",EV service platform,"['fonds de solidarité ftq', 'zenobe energy', ' siemens financial services']"
30,c51f10ff-ddeb-452a-b5d2-75d4cb8d1c5d,8 rivers,https://8rivers.com/,"Durham, CA",Net-zero solutions provider,['jx nippon oil & gas exploration corporation']
31,c537f53b-b30e-4457-9786-b9885161ae98,80 acres farms,https://www.80acresfarms.com/,"Hamilton, OH",Vertical farming company focused on pesticide-free produce,"[' siemens financial services', ' barclays', ' taurus', 'general atlantic', ' blue earth']"
32,9b53686f-95b7-4ed6-9ffe-2692618b8471,8090 industries,https://www.8090industries.com/,"New York, NY",Investment firm,[]
33,ef505948-b2af-4eec-b167-684b5f8ae3fb,8base,https://8base.com/,"Miami, FL",Development platform for building digital products,"[' strawberry creek ventures', ' firebrand ventures', ' lago innovation fund', ' mongodb ventures', ' 11 tribes ventures', ' argonautic ventures', 'foundry group', ' techstars']"
34,f79065c4-e779-428d-a184-6ac439f67a07,8inks,https://8inks.com/,"Schlieren, Switzerland",Coatings for lithium-ion batteries,['founderful']
35,cf2ded7d-f89f-4621-af12-ea5ae6e4f743,900.care,https://900.care/,"Paris, France",Refillable personal care products provider,"[' lombard odier', ' founders future', 'blue oceans partners', ' white star capital']"
36,3f57b8d2-9b1a-4ac5-b0f2-6c22fce377cc,99 counties,https://99counties.com/,"Chicago, IL",Regenerative meat marketplace,['omers ventures']
37,53a46aec-287c-4432-bba2-22981c3ef3f9,99minutos,https://99minutos.com/,"Mexico City, Mexico",Logistics service for e-commerce vendors,"[' prosus ventures', 'oak hc/ft', ' kaszek']"
38,d428a412-e5d1-4a43-bae0-3677a542fda3,aalo atomics,https://www.aaloatomics.com/,"Toronto, Canada",Company commercializing small nuclear fission reactors,"[' valor equity partners', 'fifty years', ' other investors']"
39,5acc2f18-a3f9-4942-9c3e-d0d70245c8aa,ab carval,,"Minneapolis, MN",Investment firm focused on credit and hard-asset investments,[]
40,c924f020-f4a7-4889-8133-be99f5ae9b4f,abatable,https://www.abatable.com/,"London, UK",Carbon offsetting start-up,"[' global founders capital', ' keiki capital', ' blue bear capital', 'azora', 'y-combinator', ' alumni ventures']"
41,23b8e9f2-ac8a-4b4c-843e-f4fda6581096,abb e-mobility,https://e-mobility.abb.com/en,"Zurich, Switzerland",Provider in EV charging solutions,"[' porsche', ' just climate', ' gic', 'beyondnetzero']"
42,eb5126f1-4d24-443c-9261-103b32f17a5f,abodu,https://www.abodu.com/,"Redwood City, CA",Startup building backyard homes,['initialized capital']
43,04e6c26d-6e50-479f-a4c6-8d555754685b,abolis,https://www.abolis.fr/,"Paris, France",Microorganisms for sustainable chemicals,"['bold (l’oréal’s venture capital fund)', ' evonik venture capital']"
44,5e6e0fca-68fe-4296-ba6a-84f35a8b1a2b,about:energy,https://www.aboutenergy.io/,"London, UK",Battery testing intelligence platform,"['highsage ventures', ' vireo ventures', ' plug and play', ' electric revolution ventures']"
45,61562537-e236-4db6-892a-bb3bf9d3c1f9,absolute foods,https://www.solarfoods.com/,India,"AI-driven platform enabling vertical farms, greenhouses and open farms","[' alpha wave global', 'sequoia capital india', ' tiger global', 'springvest', 'business finland', ' happiness capital', ' lifeline ventures']"
46,6a1537ef-59a5-47c1-ae67-357997b6e79d,accacia,https://www.accacia.com/,"Gurgaon, India",Real estate decarbonization platform,"[' b capital', 'accel', ' good capital', 'illuminate financial', ' loyal vc', ' blume ventures', ' accel', ' ac ventures', ' b capital group', ' rainmatter fund']"
47,3e851659-cf1a-46ca-a0d7-ae7ea6c3bdcf,acceldata,https://www.acceldata.io/,"Campbell, CA",Data observability platform,"[' insight partners', ' industry ventures', 'march capital', ' sanabil investments']"
48,1ff5a1be-1206-493c-a4f3-1b5f70e5f46b,accelercomm,https://www.accelercomm.com/,"Southampton, U.K.",5G radio access network performance optimization,"[' bloc ventures', ' swisscom', 'parkwalk', ' ip group', ' iq capital', ' hostplus']"
49,cad99496-09f8-4a2e-ad30-1f035737fa15,accelergen energy,https://www.elementenergy.com/,"Austin, TX",Renewable power and storage developer,"['cohort ventures', ' edison international', 'leyline renewable capital', ' prelude ventures', ' lg technology ventures', ' radar partners']"
50,ae2c4561-0009-4b5d-a7f1-a1ffe2980229,acceleron fusion,https://www.acceleron.energy/,"Cambridge, MA",Muon-catalyzed fusion technology developer,"['collaborative fund', ' ravikant capital', ' waikit lau', ' lowercarbon capital', ' sergey gorbunov']"
51,cf373b0c-9fd2-4b2a-9250-d5d0b8893b9d,accelsius,https://accelsius.com/,"Austin, TX",Thermal cooling systems for datacenters provider,['innventure']
52,8b3e4979-2bd3-4c1b-87fd-8b1574c9cd1c,accure,https://www.accure.net/,"Aachen, Germany",Battery analytics software platform,"[' riverstone holdings', 'blue bear capital', ' hsbc', ' capnamic ventures']"
53,6147fc40-935c-4821-95f1-e22ce567715a,accure battery intelligence,https://www.accure.net/,"Aachen, Germany",Battery safety company,"[' riverstone holdings', 'incharge capital partners', ' bluebear capital', ' hsbc asset management']"
54,a3db8147-9782-413b-ac4b-92d422d5e52b,ace green recycling,https://www.acegreenrecycling.com/,India,Battery recycling technology company,"['circulate capital', ' climate angels']"
55,112547cd-89e5-4229-9924-26554b2aed73,acel power,https://acelpower.com/,"Vancouver, Canada",Electric boat developer,['tau capital']
56,b1f99051-5a21-4e13-8de2-b4ca6511c875,acerta analytics,https://www.acerta.ai/,"Kitchener, Canada",Manufacturing technology solutions for automotive,"[' thrive venture fund', ""bdc capital's industrial innovation""]"
57,95cc3be4-a519-4adb-b306-7ffd53b505a2,aclarity,https://www.parity.com/,"Hadley, MA",Water treatment startup,"['wyse meter solutions', 'burnt island ventures', ' umass maroon fund', ' dcvc', ' massventures', ' arctern ventures', ' ret ventures']"
58,fade16c5-556d-4748-8629-20069d59d258,aclima,https://www.aclima.io/,"San Francisco, CA",Air pollution and greenhouse gas measurement startup,"[' cherry ventures', 'singular', 'clearvision ventures']"
59,d5ec0ffa-0b2d-4f49-b0f0-c52f8b00c716,acon s2 acquisition,,,Sustainable business-focused SPAC,[]
60,7351a489-4814-4808-8a0b-d6ea1144fd08,acre venture partners,https://acre.vc/,"Santa Monica, CA",Invest in ag and food-tech companies,[]
61,e52be3ec-918b-43ec-b008-8164a304963c,acretrader,https://acretrader.com/,"Fayetteville, AR",Farmland investing platform,"[' revolution’s rise of the rest seed fund', ' rzc investments', ' narya capital', 'jump capital', ' revel partners']"
62,4def45b2-df6f-4ed7-bb14-a103c4b74c96,act-ion,https://www.act-ion.com/,"Dallas, TX",Lithium ion battery cathode active materials developer,"[' mirae asset capital', ' hunt energy enterprises', ' lg technology ventures', ' arosa capital management', 'basf venture capital']"
63,4a0ed1ba-9e19-457d-81fa-e825f01cf315,active impact investments,,,Climate tech fund,[]
64,edc383a7-bfe1-49dd-adb1-1fcf1b5cbf04,active surfaces,https://www.activesurfaces.xyz/,"Cambridge, MA",Solar integration technology provider,"[' lendlease', 'safar partners', ' qvt', ' sabanci climate ventures', ' new climate ventures']"
65,c7ad72b2-2448-454f-b64f-2bd642fbb740,adamo foods,https://www.adamofoods.com/,London,Alternative steak from fungi,"['uk innovation science and seed fund', 'sfc capital']"
66,7983c993-de26-4741-9fae-4913ea2a5ccc,adaptis,https://www.adaptis.ai/,"Toronto, Canada",Decarbonization solutions provider for building owners,"[' metaprop', ' blue vision capital', ' powerhouse ventures', ' 2048 ventures', 'building ventures']"
67,aed64dae-2832-4a85-9c7a-ce864d26aae5,adaptive insurance,https://www.adaptiveinsurance.com/,"Austin, TX",Parametric insurance products for weather-related power outages,['congruent ventures']
68,d227bff4-64c0-4033-96e0-2c9d03a0d8a0,adden energy,https://steadyenergy.com/,"Waltham, MA",Battery technology developer,"[' others', 'national investment and infrastructure fund (niif)', ' massventures', ' transition venture capital', 'gruhas proptech', 'us department of energy (doe)', 'herald ventures', 'prelude ventures', 'scottish national investment bank', 'united airlines ventures', ' octopus ventures', 'version one ventures', ' primavera capital group', ' zero infinity partners', ' rajiv dadlani group', 'fly ventures', ' yes vc', ' lifeline ventures', 'hero motocorp', ' rhapsody venture partners', 'equanimity investments', 'at one ventures', 'vtt technical research centre of finland', ' pact vc', ' caladium investments']"
69,71c5e3c0-a44c-459e-b8f9-dce8fdd69092,addenergie,,Quebec City,EV charging network,"[' bennett & co', 'energy impact partners', ' mackinnon']"
70,a34f8e5c-654f-4176-a837-576f239ed01c,addionics,https://advancedionics.com/,CUK,EV battery technology company,"[' deep insight', 'next gear ventures', ' delek motors', 'argosy foundation', 'deep insight', ' gvp capital', ' novelis', ' dr. boaz schwartz', ' clean energy venture group', 'lummus venture capital', 'gm ventures', ' jera', ' union tech ventures', ' catalyst fund', ' insight partners', ' bp ventures', ' clean energy ventures', ' lummus technology', ' mitsubishi heavy industries', ' jx nippon mining & metals', 'bp ventures', ' magna international']"
71,aa7b152a-0a46-4906-8e3b-1241f3e83de6,addis energy,https://www.ampd.energy/,"Somerville, MA",Ammonia production technology developer,"['kibo invest', ' voyager ventures', ' pillar vc', ' tarongra group', 'engine ventures', ' openspace ventures', '2150']"
72,0d73c986-e0ba-4fab-8274-60e2326031eb,addénergie,,"Québec City, Canada",EV charging startup,"['mackinnon', ' bennett & company', ' business development bank of canada']"
73,0151de11-6912-4a3e-b964-7f75bdcfae70,adept materials,https://www.adeptmaterials.com/,"Somerville, MA",Develop paint material to help buildings control internal humidity,['d.r. horton']
74,1380deb3-58f2-4071-abe8-e663716f61bf,adionics,https://www.adionics.com/,"Thiais, France",Direct lithium extraction technology platform,"[' céleste management', ' sqm', 'bpifrance', ' ovive', ' supernova invest']"
75,0c204337-ebf7-4666-bd6b-3d76bb39b87f,adsorbi,https://adsorbi.com/,"Gothenburg, Sweden",Bio-based material removing air pollutants,['metsä spring']
76,e1156768-5ec9-469b-b0a8-4e0033a6b259,advanced cooling technologies,https://www.1-act.com/,"Lancaster, CA",Thermal management and cooling technologies developer,['us department of energy']
77,42980c61-563c-47ba-81b2-fc56681654fc,advanced electric machines,https://advancedelectricmachines.com/,"Washington, U.K.",Designer and manufacturer of electric vehicle motors,"[' barclays sustainable impact capital', ' northstar ventures', 'legal & general capital', ' par equity']"
78,1be635ed-c295-4a1b-a434-190c7ae359d4,advanced farm technologies,,"Davis, CA",Developer of robotic farming equipment,"[' catapult ventures', ' yamaha motors', ' impact ventures', ' kubota', 'catapult ventures', 'yamaha motor ventures & laboratory silicon valley', ' impact venture capital', ' kubota corporation']"
79,e70b6162-60f6-4f3a-bf1d-5e9ef902139b,advanced ionics,https://advancedionics.com/,"Milwaukee, WI",Producer of affordable green hydrogen,"['clean energy ventures', ' swan impact network']"
80,660b5b66-bad2-4b84-a34d-b6ccc9bbbbe8,advancedag,https://www.advancedag.ca/,"Raymond, Canada",Bioagriculture input developer,['raven indigenous capital partners']
81,be7cb0eb-d589-47e8-a871-4c1b9143c335,advancing eco agriculture,https://advancingecoag.com/,"Middlefield, OH",Regenerative agriculture platform,"['tree trunk light', 'topraq']"
82,9440f67e-2d76-40b3-84d6-93a422cf631d,advano,https://www.advano.io/,"New Orleans, USA",Focused on lithium-ion battery technology,"['mitsui kinzoku sbi material innovation fund', ' people fund', ' safran corporate ventures', ' rusheen capital management', ' envisioning partners', ' shell ventures', 'nextera energy resources', ' tony fadell’s future shape']"
83,59300bd1-3e8a-4766-9eac-cf0968feada3,advanta seeds,https://www.advantaseeds.com/,Dubai,Developing high performing and hybrid seeds for agriculture,"[' upl', 'kkr']"
84,90298ad8-d86c-448b-9703-cbeeaab79726,advent technologies,,,Fuel cell maker,['amci acquisition']
85,2dd24b37-bd35-4ad9-9b2e-64de6572e2d7,advex ai,https://advexai.com/,San Francisco,Improving AI Vision models for manufacturing,['construct capital']
86,ff8faa2c-a731-4407-9f91-ef090dd8c5f6,aea-bridges impact corp.,,,ESG-focused SPAC,[]
87,a602cf0f-ed05-477b-b456-df943cd117cf,aedifion,https://www.aedifion.com/,"Cologne, Germany",Energy usage management and monitoring company,"[' beyondbuild', 'world fund']"
88,c05e10c2-7e0a-46ff-adde-25a5bf9b1800,aegir insights,https://www.aegirinsights.com/,"Copenhagen, Denmark",Offshore wind software business,['seaya andromeda']
89,d1e2134c-cd7c-42d6-8412-6781a3a7b809,aegis energy,https://www.aegisenergy.uk/,"Wakefield, U.K.",Network of lower-emission and multi-fuel source refueling hubs for commercial vehicles,"['quinbrook infrastructure partners', 'carval investors']"
90,d2d17339-5bd8-4f8e-893b-28a2de4abdce,aeinnova,https://aeinnova.com/,"Barcelona, Spain",Wireless IoT company,['european innovation council (eic) fund']
91,30818c5b-d5c2-416e-ad15-c1646e4587e1,aemetis,https://www.aemetis.com/,"Cupertino, CA",Biofuel producer,['the u.s. department of agriculture']
92,9d3b8a3c-7989-427f-8b41-c9161b75a4a3,aepnus technology,https://www.aepnus.com/,"Oakland, CA",Recycle and reuse battery manufacturing materials,['clean energy ventures']
93,0c838fbe-380b-4362-9539-cda19d46400f,aerem,https://www.aerem.co/,India,Solar panel financing provider,"[' blume ventures', 'avaana capital', 'blume ventures']"
94,770f0155-8f1a-4987-982c-62e99b64696b,aerleum,https://www.aerleum.com/,"Strasbourg, France",Direct air capture technology,"[' htgf', '360 capital']"
95,d1fc9ddd-c0e6-4678-a00f-0ca38cb3375e,aerobotics,https://www.amprobotics.com/,South Africa,Aerial crop intelligence startup,"[' sidewalk infrastructure partners', ' gv', ' closed loop partners', 'naspers', ' valor equity partners', ' sequoia capital', ' congruent ventures', 'xn']"
96,85ef3d64-3ca1-44f0-90a8-0bedee5e4f29,aerofarms,https://www.aerofarms.com/,"Newark, NJ",Vertical farming company,[]
97,84c26545-384d-4286-ade5-92d421e35033,aerones,https://aerones.com/,"Riga, Latvia",Robotic wind turbine maintenance systems,"[' haniel', ' blume equity', 'eu’s innovation fund', ' future positive capital', ' s2g investments', ' mantas mikuckas', ' change ventures', 'activate capital', ' pace ventures', 'lightrock', ' metaplanet']"
98,dc8233c9-4baa-4c2e-95db-977ad22c245b,aeroseal,https://aeroseal.com/,"Dayton, OH",Developer of building seals to reduce carbon emissions,"[' beazer homes', 'ogci climate investments', 'breakthrough energy ventures', ' energy impact partners', ' building ventures', ' aramco ventures']"
99,59536981-326c-4a57-bf77-231ade2f835e,aeroshield,https://aeroshield.tech/,"Cambridge, MA",Developing transparent insulation for energy-efficient windows,"['massventures', ' massachusetts clean energy center']"
100,6a29e623-16f6-4592-b2fa-e01baa64808f,aeroshield materials,https://aeroshield.tech/,"Boston, MA",Energy-efficient windows provider,['advanced research projects agency-energy']
101,e895e700-a27d-48dd-8ef0-2b08bafeb06c,aether,https://www.aetherbio.com/,"Menlo Park, CA",Rare metals extraction company,"[' climate capital', ' trevor zimmerman', 'jay zaveri', ' collab fund', ' y combinator', ' amino capital', 'noa']"
102,9f86f0fe-4f74-4cee-843d-283d4f8c35de,aether diamonds,https://aetherdiamonds.com/,"New York, NY",Producer of diamonds made from atmospheric carbon,"[' social impact capital', 'helena', ' trirec', ' sound ventures', ' khosla ventures']"
103,447ce3ec-66ef-42bb-b9e5-406c8673b6a1,aether fuels,https://aetherfuels.com/,"San Francisco, CA",Sustainable aviation fuel developer,"['ap ventures', ' foothill ventures', ' cdp venture capital', ' chevron technology ventures', ' doral energy-tech ventures']"
104,69e7dc0a-f0ce-4bac-acca-f3a3c946c1ad,aetherflux,https://aetherflux.com/,"San Carlos, CA",Network of small satellites designed to collect solar energy,"[' interlagos', 'index ventures']"
105,0921776b-48e1-49a7-ad2f-4976a656b430,aev robotics,,Australia,Modular autonomous electric vehicle maker,['investible']
106,453a406b-0163-4c94-98ab-fdb39bce8f10,aeva,https://www.aeva.com/,"Mountain View, CA",LiDAR sensing and perception technologies,['sylebra capital']
107,8f4b774d-0a70-4743-8685-f96947f284c4,afresh,https://freshbus.in/,"San Francisco, CA",AI company developing food technology that prevents food waste,"[' shell ventures', ' bright pixel', ' alteria capital', ' highsage ventures', 'spark capital', ' innovation endeavors', ' vmg partners', ' maersk growth', ' ischyros new york', ' insight partners', ' riverwalk holdings', 'maniv mobility']"
108,26415472-dadf-4b5c-b1c2-9302dc9b228a,afryen neoxy,,"Saint-Avold, France",Biorefinery for biobased acids developer,"[' banque populaire auvergne rhône alpes', ' société générale', 'bnp paribas']"
109,84645006-cd02-417c-964f-086952fec526,ag5,https://www.ag5.com/,"Amsterdam, Netherlands",B2B SaaS platform for the manufacturing industry,"[' peak', 'headline']"
110,766f131d-7e1a-441f-b5e4-1b503d0a20b3,again,https://again.bio/,"Copenhagen, Denmark",Capture carbon dioxide and turn it into carbon negative chemicals,"[' google ventures', 'acme capital', ' hv capital', 'gv', ' atlantic labs']"
111,355551ed-2b25-4588-bb12-dd9894eec15d,agbiome,http://agbiome.com/,"Durham, NC",Developer of microbial-based products including a fungicide for disease control,"[' novalis lifesciences', 'blue horizon']"
112,c5bedb17-6c6a-49fe-a03a-39a4f4742629,agilitas energy,https://agilitasenergy.com/,"Wakefield, MA",Solar and battery energy storage projects,[]
113,da653b95-fbe2-42cc-ab79-f6d07fa04c27,agnext technologies,https://www.naukri.com/agnext-technologies-overview-4575943,"Chandigarh, India",AI-driven agribusiness platform,"[' the hashgraph group (thg)', ' saudi aramco energy ventures', 'shell ventures', ' trafigura', ' aet', 'international airlines group (iag)', 'novo holdings']"
114,1107fded-5039-4cf6-959b-8a06dbef7aab,agora systems,,"San Francisco, CA",Maker of materials supply chain software,['8vc']
115,911eaa84-9423-4827-8455-8ad524566c43,agragene,https://www.agragene.com/,"San Diego, Calif.",Developing eco-friendly alternatives to chemical pesticides,['ospraie ag science']
116,ec0b3d10-081b-4a6c-9b5c-6443d5858c80,agreena,https://agreena.com/,Denmark,Platform where farmers can earn carbon credits,"[' danish green future fund', ' vækstfonden', ' aenu', 'giant ventures', ' anthemis group', 'hv capital', ' giant ventures', ' gullspång re:food', 'kinnevik', ' kinnevik']"
117,1daf445e-42a9-4459-9cc0-c7a9a4dbe257,agricarbon,https://www.agricarbon.com/,"Dundee, United Kingdom",Soil carbon measurement technology developer,"[' shell ventures', 'barclays']"
118,8f324139-3fec-48f2-9748-8bf486580d93,agriconomie,https://www.agriconomie.com/,France,Ag marketplace including regenerative inputs for farmers,"[' aliment capital', ' temasek holdings', ' eurazeo', 'treïs']"
119,e7909339-e5cc-4c59-831e-edfc6b6ff561,agricycle global,,"Milwaukee, WI",Ingredient upcycling startup focused on Africa,"[' angel investors', ' wisconsin investment partners', 'masa partners', ' csa partners', ' brightstar wisconsin']"
120,ab591cd1-df94-4211-8b55-c0f7bd2595e3,agrig8,https://www.agrig8.com/,Singapore,Gamified platform for reducing methane emissions,"['better bite ventures', ' the trendlines group']"
121,d25e35fe-4f26-4b18-8e7a-7672bdf86044,agriloops,https://www.agriloops.com/,"Paris, France",Aquaponics farm developer,"['spv aqua invest', ' good only ventures', ' breizh up', ' sustainable ocean alliance (soa)', ' transitions first', ' bnp paribas développement']"
122,1b75e1a7-aec5-4101-800b-cce253064262,agritask,https://agritask.com/,Israel,Precision agriculture startup,"[' bridges israel', ' insuresilience investment fund', 'insuresilience investment fund', ' barn investimentos', 'liechtenstein group', ' smart agro fund']"
123,0e70b209-14b0-4eb8-b161-852b7e274195,agritech innovations,,"San Diego, CA",Sustainable agricultural technologies,"['agriinvest', 'international finance corporation', ' agra ventures', ' green innovation lab']"
124,8de8abd5-5da6-49d0-9401-7fe4a46ae372,agriwebb,https://www.agriwebb.com/,"Surry Hills, Australia",Beef cattle management platform,"[' germin8 ventures', 'iselect fund', 'germin8 ventures']"
125,65c452e3-7d4b-48dc-bb38-6d37186fe4e5,agrizy,https://agrizy.in/,"Bengaluru, India",Agribusiness digital marketplace,"[' ankur capital', 'accion venture lab', ' omnivore', ' capria ventures', ' thai wah ventures']"
126,3f7c137d-871b-4c67-b1cc-d39bfec56985,agrobiomics,https://www.agrobiomics.com/,"Copenhagen, Denmark",Make biostimulants that make plants more resilient to stressors like drought and salinity,['noon ventures']
127,7cad45e1-04e4-4b84-a7a9-33543200715d,agrolend,https://agfundernews.com/agrolend-raises-1-6m-seed-funding-from-30-investors,"São Paulo, Brazil",Farm credit provider,"[' lightrock', 'creation investments', ' provence capital', ' barn invest', ' syngenta group']"
128,1c626b92-62b6-42ea-8adc-8d21681f5adb,agrology,https://www.agrology.ag/contact,"Alexandria, VA",Regenerative and predictive agriculture platform,"[' phoenix venture partners', ' skyview ventures', 'active impact investments']"
129,bd2cc72e-a73b-4d9b-a713-1e2b37e9e512,agros,https://www.agrosglobal.com/,Singapore,Solar irrigation provider,"[' silverstrand capital', ' global innovation fund', 'gaia impact fund', ' schneider electric energy access asia', ' wavemaker impact']"
130,89e4af6e-f6b6-4334-9a8a-e53d28ee53c8,agrospheres,https://www.agrospheres.com/,"Charlottesville, VA",Bio-based crop protection platform,"['ospraie ag science', ' kdx', ' keiki capital', ' cavallo ventures', ' bidra innovation ventures', ' fmc ventures', ' thin line capital', 'zebra impact ventures', ' lewis & clark agrifood', 'active impact investments', 'zebra impact']"
131,93920d0c-9ff6-4bf3-ac3b-eaff21989115,agrourbana,https://www.agrourbana.ag/,Chile,Vertical farming business,['alb']
132,474a2309-517b-4a9d-b956-23ca01fe4a0d,agteria,https://www.agteria.com/,"Stolkhom, Sweden",Biotech additive focused on reducing livestock methane emissions,['norrsken launcher']
133,1621f7bc-ce84-4955-a56a-ed4b372b9406,agteria biotech,https://www.agteria.com/,"Stockholm, Sweden",Methane-reducing feed additive service provider,"[' mudcake (prev. trellis road)', 'norrsken launcher', ' norrsken launcher', ' industrifonden', 'agrizeronz']"
