Unnamed: 0,id,name,tagline,domain,Location,Investors,Employees (Current),Employees: Growth YoY (%),Investment Stage,Last Funding Amount (USD),LinkedIn Profile (Founders/CEOs),In Energize Affinity,Affinty ID
2865,ff2b4538-2a3b-4b16-a530-017a14961981,octopus energy,Large-scale renewable energy platform,https://ubiquitous.energy/,England,"['andersen corporation', 'canada pension plan investment board', ' canada pension plan investment board (cpp investments)', ' riverhorse investments', ' generation investment management', 'origin energy', ' hostplus', ' red cedar ventures', ' eneos', ' safar partners', ' tokyo gas']",,,,,,False,Not in Affinity
2866,5cc5223e-45e8-4d34-8428-2e4bc962cf25,Odd.Bot,Autonomous weeding robot,odd.bot,"Lelystad, Netherlands",['iconic ventures'],,,,,,False,221115738
2867,676432a0-de27-4736-840b-8ef0ec417fd6,Odys Aviation,Making hybrid-electric vertical takeoff and landing (VTOL) aircrafts,odysaviation.com,California,"[' soma capital', 'giant ventures', ' countdown capital', ' 11.2 capital']",,,,,,False,284881763
2868,16bb4b71-d134-48b3-8a55-1f3278c60709,Odyssey Energy Solutions,Emerging markets distributed energy software company,odysseyenergysolutions.com,"Boulder, Colorado","['Equal Ventures', 'Union Square Ventures', 'Equator', 'Twelve Below', 'Founder Collective', 'Climate Capital', 'MCJ Collective', 'Abstract Ventures', 'Transition']",51.0,-7.27,Series A,15000000.0,Emily McAteer (Co-founder & CEO): https://linkedin.com/in/emily-mcateer-58882724,True,161869339
2869,d7568331-d490-4328-bcfd-f9db069fdd3e,off meat,Plant based meat producer,,Indonesia,"[' global founders capital', 'alpha jwc ventures', ' creative gorilla capital', ' lemonilo', ' united family capital']",,,,,,False,Not in Affinity
2870,41fd4b2f-1c67-4a5b-a9f7-474835d904e4,Ogre AI,Energy management system software platform,ogre.ai,"London, United Kingdom","['Verbund X Ventures', 'Mmc Vc Fund', 'Early Game Ventures', 'Soulmates Ventures', 'Sofia Angels Ventures']",10.0,0.0,Other,3000000.0,Matei Stratan (CEO): https://linkedin.com/in/matei-stratan-ab3b4a7b,True,285820765
2871,c5d52e8b-f1e2-4075-936f-2635e7fbdb48,Ohmconnect,Provider of a residential energy flexibility platform,ohmconnect.com,"Oakland, California","['SunPower', 'Sidewalk Infrastructure Partners', 'Radicle Impact', 'Carrier', 'Citi Impact Fund', 'ClearSky', 'Japan Energy Fund', 'Floodgate', 'Elemental Excelerator', 'City Light Capital', 'TELUS Ventures', 'SIP', 'Barclays', 'Sidewalk Infrastructure Partners (SIP)', 'Jerry Yang & Jeff Chung of AME Cloud Ventures', 'Jennifer Fonstad of Aspect Ventures', 'Jim Babcock of Cthulhu Ventures', 'Mike Maples of Floodgate', 'Mark Pincus', 'Josh Cohen of City Light Capital', 'Dan Skaff and Kat Taylor of Radicle Impact']",21.0,-19.23,Series D,55000000.0,"['Cisco DeVries (Chief Executive Officer): https://linkedin.com/in/cisco-devries-9a89363', 'Curtis Tongue (Co-Founder and Chief Strategy Officer): https://linkedin.com/in/curtistongue', 'Rafael Fegueroa (Chief Executive Officer): https://linkedin.com/in/rafael-fegueroa-0867b61a3', 'Matt Duesterberg (Co-Founder / CRO): https://linkedin.com/in/duesty']",True,1666426
2872,ff7a2b81-da1d-487e-a86d-03e58ed4a12d,ohmium,Manufacturer of PEM electrolyzers for green hydrogen,https://www.ohmiuminternational.com/,"Incline Village, NV","[' fenice investment group', 'tpg rise climate', ' energy transition ventures', ' hanover technology investment management']",,,,,,False,Not in Affinity
2873,57246259-7009-49d9-b3b5-82ac17ade3e4,Oishii Farm,Growing strawberries and tomatoes in indoor vertical farms,oishii.com,"Jersey City, New Jersey","['others', 'McWin Capital Partners', 'Mizuho Bank', 'NTT', 'Bloom8']",116.0,3.57,Series B,134000000.0,Hiroki Koga (Co-Founder & CEO): https://linkedin.com/in/hirokikoga,True,223153357
2874,70cd072e-d5a5-4c67-96de-cf5cea884a32,Ojjo,Manufacturing solar energy foundation systems,ojjo.com,"San Rafael, California","['U.S. Small Business Administration.', 'Ajax Strategies', 'Cthulhu Ventures', 'NGP ETP', 'other investors', 'James Wallis']",14.0,-65.85,Series C,40000000.0,"['Jack West (Founder & CTO): https://linkedin.com/in/jackwestzepsolar', 'Mike Miskovsky (Founder, Board Director): https://linkedin.com/in/miskovsky', 'Daniel Flanigan (Co-Founder & Chief Operating Officer at Ojjo, Inc.): https://linkedin.com/in/danielpflanigan']",True,262765000
2875,e3c5bf1b-03c2-4605-8831-4b7c70898c14,OKA,Carbon market insurance solutions,oka.com,"Park City, UT","[' firstminute capital', 'aquiline technology growth', 'aquiline capital partners']",,,,,,False,1630587
2876,1da583b9-11e9-4275-bf61-96c93e493c48,okify,Utility interface software platform,,"Barcelona, Spain",['bewater funds'],,,,,,False,Not in Affinity
2877,8ef25273-31ea-4c07-87c2-52d4cb441302,Oklo,Small modular reactors developer,oklo.com,"Sunnyvale, California",Sam Altman,109.0,31.33,Public Markets,,Jacob DeWitte (CEO and Co-Founder): https://linkedin.com/in/jacob-dewitte-90062132,True,1672776
2878,74869376-3218-459b-8ee9-9de2ed5fdfa5,Okra Solar,Solar home systems provider for electrifying off-grid households,okrasolar.com,"None, Australia","['SDGx', 'Didendum', 'Schneider Electric', 'Smart Axiata Digital Innovation Fund', 'FMO', 'EDFI ElectriFI', 'Explorer Investments', 'One Ventures', 'King Philanthropies', 'EDFi', 'GGG', 'Autodesk Foundation']",42.0,5.0,Series A,12000000.0,"['Afnan Hannan (Co-Founder / CEO): https://linkedin.com/in/afnan-hannan-461272ba', 'Damian Veling (Co-Founder / CTO): https://linkedin.com/in/damianveling']",True,212183985
2879,2698de91-0acd-4062-b53f-abaf8acec554,Ola Electric ,Electric scooter company,olaelectric.com,"Bengaluru, India",[],,,,,,False,220430828
2880,b2f3ffde-2953-43f1-822b-2ecc2a1e3186,Olea Edge Analytics,Edge computing company focused on the water utility industry,oleaedge.com,"Bee Cave, Texas","['Insight Partners', 'Mercury Fund', 'Ananta Family Office', 'Renewal Funds']",21.0,-4.55,Series C,35000000.0,"['Dave Pearce (Co-founder and board observer): https://linkedin.com/in/dave-pearce-71b91b3', 'David Pearce (Co-founder and board observer): https://linkedin.com/in/david-pearce-71b91b3']",True,118760101
2881,308aa9bd-ff7b-40ee-a221-d87f0dc18eba,olocopter,Battery-powered aviation startup,https://www.volocopter.com/,"Bruchsal, Germany","[' whysol', 'wp investment', ' gly capital management', ' atlantia', 'neom', ' honeywell', ' btov partners']",,,,,,False,Not in Affinity
2882,08203c91-7d1e-4b44-a98d-ab39fb62af63,Olokun Minerals,Brine mineral mining company,olokunminerals.com,"Los Angeles, CA",[],,,,,,False,286228179
2883,2815a412-141e-4e32-8bdc-9030d8044fff,Olyns,Recycling and retail media solutions company,olyns.com,"Campbell, California",Vanedge Capital,16.0,23.08,Series A,4000000.0,"['John Buchowski (Co-Founder): https://linkedin.com/in/john-buchowski-1974a68', 'Philip Stanger (Founder / CEO): https://linkedin.com/in/philip-stanger-34624532']",True,225204226
2884,dd397a22-91ab-48b9-9cfd-ccfa5ac29775,Omeat,Producer of cultured meat from fungi,omeat.com,"Los Angeles, CA","['s2g ventures', ' google ventures', ' cavallo ventures', ' tyson ventures', ' rethink food', ' trailhead capital', ' bold capital partners']",,,,,,False,291822977
2885,6ff027e4-852f-4c5c-a7d3-e9abed5e1568,Omnevue,ESG performance reporting platform,omnevue.com,"London, UK","['elbow beach capital', ' pi labs', ' zone2boost']",,,,,,False,290889052
2886,b029603c-4901-42f6-b1ec-adbf95b439b0,Omnidian,Solar energy monitoring and maintenance business,omnidian.com,"Seattle, Washington","['Activate Capital', 'National Grid Partners', 'Congruent Ventures', 'Evergy Ventures', 'Blue Bear Capital', 'IA Capital', 'Avista Corp', 'Centrica', 'HSBC Asset Management', 'WIND Ventures', 'City Light Capital', 'Energy Foundry', 'Avista Development, Inc.', 'Avista Development Inc.', 'Evergy', 'National Grid (National Grid Partners)', 'Liberty Mutual Insurance', 'Liberty Mutual Investments', 'B Capital', 'Citi Impact Fund', 'Marunouchi Innovation Partners', 'Alumni Ventures']",239.0,4.82,Series C,87000000.0,"['Mark Liffmann (Chief Executive Officer and Founder): https://linkedin.com/in/markliffmann', 'Brad Davis (CMO, Co-Founder & President, Consumer Direct): https://linkedin.com/in/braddavismarketing', ""Katelin Breck (Co-Founder, WeGu - Omnidian's DEI Group): https://linkedin.com/in/katelin-breck-50534298""]",True,114273314
2887,fb9f7bf2-e74e-445c-afb4-3d87b4b732d8,Omnitron Sensors,Microelectromechanical systems sensors for autonomous vehicles,omnitronsensors.com,Los Angeles,['corriente advisors'],,,,,,False,225099113
2888,cb59d96f-b896-4caa-9249-e0be873cffd1,On.Energy,Energy storage developer,on.energy,"Miami, FL","['Lombard Odier Investment Managers', 'Ultra Capital', 'Live Oak Bank', 'Phalanx Investment Partners']",92.0,-5.15,Debt,25000000.0,,True,291694155
2889,642053f4-9188-43c0-a8b9-3f3392c9947f,One Click Lca,End-to-end sustainability software platform,oneclicklca.com,"Helsinki, Finland","['InfraVia Capital Partners', 'PSG Equity']",194.0,4.3,Other,43779200.0,Panu Pasanen (CEO & Decarbonization Evangelist): https://linkedin.com/in/panupasanen,True,219982320
2890,bb8d461c-75f4-4414-acb6-c245af6aba78,One Concern,Resilience-as-a-service solutions provider,oneconcern.com,"Menlo Park, California","['New Enterprise Associates', 'SOMPO Holdings', 'Craig Fugate', 'Ron Conway', 'General David Petraeus', 'Dr. Judith Rodin', 'John Roos', 'Scott Sandell']",24.0,-27.27,Other,45000000.0,"['Ahmad Wani (Chief Executive Officer and Co Founder): https://linkedin.com/in/ahmadwani', 'Timothy Frank (Co Founder): https://linkedin.com/in/timothyefrank', 'Nicole Hu (Chief Technology Officer and Co Founder): https://linkedin.com/in/nicolehu1c']",True,1808190
2891,18909524-b847-4cca-9837-d8d345ec8913,One Energy,Wind energy development business,oneenergy.com,"Findlay, OH",['undisclosed investors'],,,,,,False,205545698
2892,f2d332f0-f88c-4333-add3-ed0204b2c19e,one moto,Provider of last-mile delivery EVs,,"London, UK",[],,,,,,False,Not in Affinity
2893,328ac6af-5985-41a6-9bd5-ce7dadb5fa37,onebeat,Inventory management platform,,"Tel Aviv, Israel","[' surround ventures', ' incapital ventures', 'magenta venture partners', ' and ventures', ' j-ventures', ' wilson’s bird capital']",,,,,,False,Not in Affinity
2894,80bb3747-4bac-429b-8414-9975c714dd30,oned battery sciences,Enhancing the life of EV batteries,https://www.onedbattery.com/,"Palo Alto, CA","[' general motors', 'volta energy technologies']",,,,,,False,Not in Affinity
2895,c20dfac2-6c55-4403-aeee-f9029d7c0ce9,Onego Bio,Animal-free egg white protein producer,onego.bio,"San Diego, California","['NordicNinja', 'Tesi', 'Maki.vc', 'Holdix', 'Turret', 'Agronomics', 'EIT Food', 'Business Finland', 'Agronomics Ltd', 'Maki VC', 'European Innovation Council (EIC) Accelerator Program', 'additional Series A investors']",44.0,25.71,Series A,14000000.0,"['Jussi J Joensuu (COO and Co-founder): https://linkedin.com/in/jussi-j-joensuu-3073b2112', 'Christopher Landowski (CTO and Co-Founder): https://linkedin.com/in/christopher-landowski-b6929356', 'Maija Itkonen 🌻 (CEO & Co-founder): https://linkedin.com/in/maija-itkonen-%F0%9F%8C%BB-25166a4', 'Maija Itkonen (CEO & Co-founder): https://linkedin.com/in/maija-itkonen-25166a4']",True,285002061
2896,4ce684ff-7b0e-40c8-a6b3-f64065821807,Oneka Technologies,Wave-powered desalination technology provider,onekawater.com,"Sherbrooke, Canada","[' aqc capital', ' invest nova scotia', ' propulia capital', 'hoffecker family', ' horizon capital holdings']",,,,,,False,161798866
2897,5b6e5d54-5b31-4cf8-916f-40c5e25b4f08,OnePak,Logistics and returns platform,onepak.com,"Boston, MA",[],,,,,,False,224662372
2898,09bdb1e6-a437-4855-a81b-25c47643d96f,OnePlanet,Solar panel recycling services provider,oneplanet.com,"Jacksonville, FL",['khasma capital'],,,,,,False,268155090
2899,56f64897-a912-470d-b358-71fa73c56cfd,OnePlanet Solar Recycling,Solar panel recycler,1planetrecycling.com,"Jacksonville, FL",['khasma capital'],,,,,,False,292033698
